id;category_name;uuid
1;versus;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
2;athwart;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
3;justify lest silently;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
4;now incomplete for;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
5;provided;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
6;hmph heirloom;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
7;indeed athwart duh;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
8;once franchise;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
9;gurgle icky;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
10;yahoo huzzah;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
