id;course_name;description;price;number_of_classes;total_duration;uuid
1;inconsequential hybridise submissive;kindheartedly;15907.79;9361;23799;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
2;out max;whoever nor;30065.96;19081;27465;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
3;geez;hmph pun;28791.8;13376;20775;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
4;overconfidently;critic;32276.4;17814;17221;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
5;lest good-natured confused;yearningly obstruct;12915.93;19111;12292;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
6;abnormally bossy;sick concerning;21061.47;31718;6667;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
7;more finally;ha even regard;21861.51;11423;12051;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
8;squirm cribbage helpfully;only gadzooks;31181.15;29718;16087;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
9;phooey instruct;since weekender crisp;1414.24;12117;26448;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
10;ah;whose shrilly comfortable;9089.14;115;20919;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
