id;amount;trx_type;user_id;uuid
1;17074.24;BKASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
2;9939.86;CASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
3;10819.51;CASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
4;23357.05;CASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
5;3749.79;CASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
6;1363.33;BKASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
7;30308.99;BKASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
8;12325.19;CASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
9;20069.15;BKASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
10;3349.83;BKASH;1;2a7b0c16-8c73-46cb-b8ba-51c8957babd9
